Product,Unit,PackageType,ContentQty,X,Y,Z,Weight
99218,Car,BA,12,29,17,22,1.8
99218,Unit,BA,1,14,4,15,0.12
101229,Unit,BA,1,11.6,3.9,11.4,0.05
101229,Car,BA,60,59.8,17.4,20.7,3.276
101230,Unit,BA,1,11.3,3.9,11.7,0.05
101230,Car,BA,60,20.1,17.6,59.5,3.408
101336,Unit,BA,1,25,1,22,0.1
101813,Car,BA,125,20.6,11.4,18,4.286
101813,Unit,BA,1,5.8,1.7,8.1,0.032
102297,Unit,BA,1,17,1,17,0.032
102299,Unit,BA,1,18,2,17,0.057
102302,Unit,BA,1,18.7,2.4,19.6,0.034
102303,Unit,BA,1,17,1.4,17,0.053
102892,Unit,BA,1,15,4,11,0.2
103227,Car,BA,2,46,39,40,20.4
103227,Unit,BA,1,42.1,41.1,26.5,11.486
103826,Unit,BA,1,18.6,2.1,6.9,0.098
103827,Unit,BA,1,31,3,7,0.2
104005,Unit,BA,1,0.5,2,0.5,0.004
104717,Car,BA,6,30,28,4,0.894
104717,Unit,BA,1,26.6,1.2,27.7,0.134
104718,Car,BA,6,28.4,4.4,29.2,0.934
104718,Unit,BA,1,26.7,1.2,27.7,0.14
105745,Unit,BA,1,21.2,1.9,17.6,0.024
105879,Unit,BA,1,17.6,2.7,18.6,0.032
106133,Car,BA,10,22,20,16,4.45
106133,Unit,BA,1,19,2,13,0.42
106728,Unit,BA,1,6,2,5,0.1
106735,Unit,BA,1,14,3,9,0.2
106823,Unit,BA,1,13.2,7.2,14.9,0.47
107301,Unit,BA,1,21.5,2.1,16.6,0.028
107640,Unit,BA,1,23.4,19,42.1,4.732
108735,Unit,BA,1,52,16,38,1.18
108735,Car,BA,5,96,58,41,8.55
110189,Car,BA,2,45,35,38,18.85
110189,Unit,BA,1,23.5,35.2,38,9.14
110189,Pal,KO,24,120,122.5,80,240
111654,Car,BA,8,56,41,37,19.73
111654,Unit,BA,1,35,10,27,2.33
112040,Unit,BA,1,12,4.6,15.3,0.152
112423,Car,BA,72,45,26,24,4.4
112423,Unit,BA,1,7.7,3.6,14.6,0.046
112425,Car,BA,72,45,26,24,6.7
112425,Unit,BA,1,7.8,3.7,14.8,0.052
112430,Unit,BA,1,3.3,7.7,14.5,0.064
112430,Car,BA,72,45,26,24,4.3
112465,Unit,BA,1,19.8,14.2,34.4,1
112465,Pal,BA,90,120,110,78,110
112466,Unit,BA,1,14,11,35,0.9
112467,Car,BA,72,46.4,21.7,33.8,4.446
112467,Unit,BA,1,10.1,3.4,14,0.048
112468,Car,BA,72,46.5,21.8,33.3,4.1
112468,Unit,BA,1,13.8,3,10,0.043
112469,Car,BA,72,46.9,22.3,33.7,4.442
112469,Unit,BA,1,10,3.4,14,0.048
112470,Car,BA,72,46.5,21.8,33.3,4.1
112470,Unit,BA,1,13.8,3,10,0.043
112471,Car,BA,72,44.9,23.4,32.6,5.7
112471,Unit,BA,1,13.9,3.4,10.2,0.068
112472,Unit,BA,1,13.8,5.3,8.3,0.074
112472,Car,BA,96,43.4,36,32.8,8.5
112475,Unit,BA,1,8.4,5.5,14,0.072
112475,Car,BA,96,43.4,36,32.8,8.5
112476,Unit,BA,1,13.8,5.7,8.4,0.078
112476,Car,BA,96,43.4,36,32.8,9.2
112487,Car,BA,25,35,29,25,11.7
112487,Unit,BA,1,0.8,24,33.6,0.447
112488,Car,BA,20,45,22,35,10.8
112488,Unit,BA,1,0.5,33.2,34.9,0.505
113365,Unit,BA,1,11.4,19.5,41.2,0.958
113366,Unit,BA,1,11.2,19.5,41.3,0.954
113367,Unit,BA,1,19,11,40,1
113368,Unit,BA,1,41.2,19.7,11.1,0.948
113370,Unit,BA,1,19.6,12.2,39,1.3
113379,Car,BA,72,46.5,21.8,33.3,4.1
113379,Unit,BA,1,13.9,3.4,10.1,0.048
113380,Car,BA,72,46.5,21.8,33.3,4.1
113380,Unit,BA,1,13.9,3.2,10.2,0.046
113416,Pal,BA,168,119,107,80,163.2
113416,Unit,BA,1,13.4,10.5,35.7,0.9
113418,Unit,BA,1,34.5,19.3,12.3,1.056
113441,Unit,BA,1,11,4.4,17.9,0.346
113441,Car,BA,20,26.2,22,24.1,7.19
113442,Unit,BA,1,21.9,2.7,30.9,1.322
113442,Car,BA,10,32.5,26.8,24.1,13.694
113450,Car,BA,20,24.5,32,31,12.6
113450,Unit,BA,1,1.3,23.3,30.7,0.585
113538,Unit,BA,1,12,3,14,0.04
113538,Car,BA,60,53,16,37,3.17
113540,Unit,BA,1,14,3,11,0.04
113540,Car,BA,10,26,15,12,0.47
113541,Car,BA,10,26,15,12,0.47
113541,Unit,BA,1,14,3,11,0.04
113542,Unit,BA,1,13,4,12,0.04
113542,Car,BA,10,26,15,12,0.47
113543,Car,BA,10,26,15,12,0.47
113543,Unit,BA,1,11,3,14,0.04
113544,Car,BA,6,37,15,20,1.35
113544,Unit,BA,1,20,6,14,0.2
113615,Unit,BA,1,42,13,31,1.5
113817,Car,BA,90,47,29,42,12.6
113817,Unit,BA,1,16.4,2.9,12.3,0.114
114353,Car,BA,2,42,36,36,20
114353,Unit,BA,1,35,35,21,8.51
114555,Unit,BA,1,51.4,5.8,10.6,0.636
117815,Car,BA,100,38,21,24,5.5
117815,Unit,BA,1,15.2,2.5,11.2,0.05
117820,Car,BA,100,40,16,40,5.81
117820,Unit,BA,1,11,2,10,0.05
117940,Unit,BA,1,18,2,7,0.03
117940,Car,BA,10,20,11,15,0.41
118547,Unit,BA,1,19,4.8,14.6,0.156
